id,name,system
344476073,ac-library,aarch64-darwin
345050031,actual-server,aarch64-darwin
344811095,aerion,aarch64-darwin
344811101,aerogramme,aarch64-linux
344811099,aerogramme,x86_64-linux
344477580,alan_2,aarch64-linux
344477581,alan_2,x86_64-linux
344812215,alibuild,aarch64-darwin
344812210,alibuild,aarch64-linux
344812211,alibuild,x86_64-linux
344812363,amnezia-vpn-bin,x86_64-linux
345009750,android-mic,aarch64-linux
345054498,apacheHttpdPackages.mod_tile,aarch64-linux
345054494,apacheHttpdPackages.mod_tile,x86_64-linux
345054497,apacheHttpdPackages_2_4.mod_tile,aarch64-linux
345054495,apacheHttpdPackages_2_4.mod_tile,x86_64-linux
344478766,archivemount,aarch64-darwin
344479671,ath9k-htc-blobless-firmware-unstable,aarch64-linux
344479658,ath9k-htc-blobless-firmware-unstable,x86_64-linux
344479659,ath9k-htc-blobless-firmware,aarch64-linux
344479664,ath9k-htc-blobless-firmware,x86_64-linux
345050069,atmos,aarch64-darwin
345054573,auto-editor,aarch64-darwin
345054567,auto-editor,aarch64-linux
345054561,auto-editor,x86_64-linux
345062958,aws-sam-cli,aarch64-darwin
344480253,ax25-tools,aarch64-linux
344480246,ax25-tools,x86_64-linux
345009881,azahar,aarch64-darwin
344813441,azure-cli-extensions.acrcssc,aarch64-darwin
344813440,azure-cli-extensions.acrcssc,aarch64-linux
344813444,azure-cli-extensions.acrcssc,x86_64-linux
344813466,azure-cli-extensions.aksarc,aarch64-darwin
344813448,azure-cli-extensions.aksarc,aarch64-linux
344813465,azure-cli-extensions.aksarc,x86_64-linux
344480338,azure-cli-extensions.alias,aarch64-darwin
344480342,azure-cli-extensions.alias,aarch64-linux
344480340,azure-cli-extensions.alias,x86_64-linux
344813445,azure-cli-extensions.aosm,aarch64-darwin
344813450,azure-cli-extensions.aosm,aarch64-linux
344813503,azure-cli-extensions.aosm,x86_64-linux
344813467,azure-cli-extensions.arcappliance,aarch64-darwin
344813449,azure-cli-extensions.arcappliance,aarch64-linux
344813451,azure-cli-extensions.arcappliance,x86_64-linux
344813458,azure-cli-extensions.arcdata,aarch64-darwin
344813483,azure-cli-extensions.arcdata,aarch64-linux
344813469,azure-cli-extensions.arcdata,x86_64-linux
344813456,azure-cli-extensions.attestation,aarch64-darwin
344813464,azure-cli-extensions.attestation,aarch64-linux
344813463,azure-cli-extensions.attestation,x86_64-linux
344813474,azure-cli-extensions.cloud-service,aarch64-darwin
344813460,azure-cli-extensions.cloud-service,aarch64-linux
344813461,azure-cli-extensions.cloud-service,x86_64-linux
344813468,azure-cli-extensions.connectedk8s,aarch64-darwin
344813491,azure-cli-extensions.connectedk8s,aarch64-linux
344813470,azure-cli-extensions.connectedk8s,x86_64-linux
344813495,azure-cli-extensions.containerapp,aarch64-darwin
344813475,azure-cli-extensions.containerapp,aarch64-linux
344813480,azure-cli-extensions.containerapp,x86_64-linux
344480661,azure-cli-extensions.k8s-configuration,aarch64-darwin
344480646,azure-cli-extensions.k8s-configuration,aarch64-linux
344480636,azure-cli-extensions.k8s-configuration,x86_64-linux
344813473,azure-cli-extensions.k8s-extension,aarch64-darwin
344813471,azure-cli-extensions.k8s-extension,aarch64-linux
344813492,azure-cli-extensions.k8s-extension,x86_64-linux
344813482,azure-cli-extensions.redisenterprise,aarch64-darwin
344813481,azure-cli-extensions.redisenterprise,aarch64-linux
344813476,azure-cli-extensions.redisenterprise,x86_64-linux
