name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
ac-library,,,,344476073
actual-server,,,,345050031
aerion,,,,344811095
aerogramme,344811099,344811101,,
alan_2,344477581,344477580,,
alibuild,344812211,344812210,,344812215
amnezia-vpn-bin,344812363,,,
android-mic,,345009750,,
apacheHttpdPackages.mod_tile,345054494,345054498,,
apacheHttpdPackages_2_4.mod_tile,345054495,345054497,,
archivemount,,,,344478766
ath9k-htc-blobless-firmware-unstable,344479658,344479671,,
ath9k-htc-blobless-firmware,344479664,344479659,,
atmos,,,,345050069
auto-editor,345054561,345054567,,345054573
aws-sam-cli,,,,345062958
ax25-tools,344480246,344480253,,
azahar,,,,345009881
azure-cli-extensions.acrcssc,344813444,344813440,,344813441
azure-cli-extensions.aksarc,344813465,344813448,,344813466
azure-cli-extensions.alias,344480340,344480342,,344480338
azure-cli-extensions.aosm,344813503,344813450,,344813445
azure-cli-extensions.arcappliance,344813451,344813449,,344813467
azure-cli-extensions.arcdata,344813469,344813483,,344813458
azure-cli-extensions.attestation,344813463,344813464,,344813456
azure-cli-extensions.cloud-service,344813461,344813460,,344813474
azure-cli-extensions.connectedk8s,344813470,344813491,,344813468
azure-cli-extensions.containerapp,344813480,344813475,,344813495
azure-cli-extensions.k8s-configuration,344480636,344480646,,344480661
azure-cli-extensions.k8s-extension,344813492,344813471,,344813473
azure-cli-extensions.redisenterprise,344813476,344813481,,344813482
azure-cli-extensions.serial-console,344480814,344480810,,344480811
azure-cli-extensions.stack-hci-vm,344480824,344480826,,344480830
azure-cli-extensions.webpubsub,344813509,344813485,,344480899
azure-sdk-for-cpp.security-attestation,344480951,344480950,,
barman,,,,344813628
beadwork,,344481491,,344481481
beanhub-cli,344814008,344814017,,344814011
biglybt,,,,344814110
bochs,,,,344482766
bootil,,,,344482932
boulder,,,,344482999
brlcad,345054800,345054799,,
btrsync,344814666,344814682,,
bugdom,,,,344483425
bumblebee-status,344814790,344814789,,
cadabra2,345054814,345054813,,
caffe,345054817,345054816,,345054825
calibre,,345054837,,
candle,,,,344815014
capa,,,,344815094
cargo-deb,,,,344815191
cargo-risczero,,,,344815430
cargo-semver-checks,344815397,344815396,,344815395
cargo-ui,,,,344815472
casacore,,,,344484603
cbconvert-gui,344815629,344815635,,
cbconvert,344815632,344815627,,
cbmbasic,,,,344484790
cdecl,,,,344484925
cegui,,,,344485020
celeste,344815742,344815735,,
celf,344815737,344815729,,344815728
cfv,,,,344485173
chickenPackages_5.chickenEggs.fusion-arrays,,,,344485918
chickenPackages_5.chickenEggs.hypergiant,,,,344486067
chickenPackages_5.chickenEggs.libyaml,,344486174,,344486178
chipsec,344487309,344487297,,344487288
clevercsv,344816186,344816182,,344816187
clfft,,,,344487735
clipcat,,,,344816275
cocom-tool-set,,,,344488306
colmap,,345062985,,
compare50,344816656,344816654,,344816660
contour,,,,344955978
convos,344489011,344489008,,344489007
coq_8_7,344489371,344489378,,
coq_8_8,344489363,344489365,,
coq_8_9,344489368,344489373,,
cortex-tools,344489470,344489462,,344489466
cosmopolitan,344489578,,,
cp437,,,,344489629
cpond,,,,344489690
cppclean,344489675,344489698,,
credsweeper,,345055006,,
creek,344817095,344817089,,
cuneiform,345055001,345055000,,
cups-dymo,,,,344817346
cyberstrike,,344817421,,344817433
d-seams,344490570,,,
dart_frog_cli,344817526,344817527,,
dasher,,,,344817533
db-rest,,,,344817593
deadpixi-sam-unstable,,,,344817688
deskew,,,,344817836
dgop,,,,344491437
dico,,,,344491535
dino,,,,344818062
discordchatexporter-desktop,,,,345055087
diskbloom,344491801,344491805,,
dl-librescore,,,,344818214
dleyna,,,,344818228
dnadd,,,,344492037
dnslink-std-go,,,,344492101
dockapps.wmsm-app,,,,344492244
dotnetCorePackages.sdk_11_0-bin,,344492947,,
dotnetCorePackages.sdk_11_0_1xx-bin,,344492948,,
dovecot_pigeonhole,,,,344493052
dovecot_pigeonhole_2_4,,,,344493053
driftnet,,,,344819009
dune3d,,,,345055125
dyndnsc,345010620,345010614,,345010613
ecapture,344819308,344819304,,
eggnog-mapper,,,,344819390
egoboo,,,,344819422
ela-widget-tools,,,,344819428
electron_44-bin,345047829,345047826,,
electrum,,,,345055180
elm-land,344819538,344819613,,344819575
elmPackages.elm-analyse,344819558,344819602,,344819589
elmPackages.elm-doc-preview,344819541,344819617,,344819616
elmPackages.elm-graphql,344819566,344819631,,344819635
elmPackages.elm-verify-examples,344819571,344819660,,344819580
elmPackages.elm-wrap,,,,344494342
elmPackages.elm-xref,344819570,344819637,,344819592
emborg,345055203,345055210,,345055220
emmy-lua-code-style,,,,344494491
empserver,,344494528,,
enca,,344494568,,
envoluntary,,344819792,,
enyo-launcher,,,,344819790
epgstation,,,,344819842
equalx,,,,344819828
ete-unwrapped,,344819933,,344494955
exatorrent,,,,344820025
excalidraw_export,344820015,344820021,,344820014
exegol4,344820022,344820020,,344820019
exfat,,,,344495137
factoriolab,,,,345055268
fancy-cat,,,,345055272
fbv,,,,344495694
fceux-qt6,344820317,344820305,,
fcron,,,,344495790
fedimint,344820411,344820398,,
flame,,,,345050216
flashrom,,344820832,,
fleng,,,,344496713
flet-client-flutter,,,,344956269
flex-launcher,,,,344820849
flexget,,,,345042476
flightcore,,,,344820875
fluent-bit,,,,344820925
fluux-messenger,,345055388,,
fmt_10,,,,344496986
fmt_9,,,,344497001
ford,,,,344821109
fortitude,,,,344821142
fotema,345055410,345055414,,
freebsd.makeMinimal,,,,344497597
freebsd.xf86-video-scfb,344497674,344497678,,344497682
freepv,,,,344497740
fwup,344498108,344498109,,344498106
g15daemon,,,,344498173
gam,344821517,344821526,,344821511
gccNGPackages.gcc-unwrapped,,,,344498550
gccNGPackages_15.gcc-unwrapped,,,,344498620
gccNGPackages_16.gcc-unwrapped,,,,344498701
gdcm,,,,345055465
gerbera,344499129,344499148,,
getxbook,,,,344499207
ggshield,,,,344821956
ghidra-extensions.gnudisassembler,,,,345055495
gimme-aws-creds,344822069,344822092,,344822099
git-branchstack,344822174,344822206,,344822191
git-chain,,,,344822196
git-fast-export,344822256,344822240,,344822248
git-privacy,344822349,344822306,,344822325
git-together,,,,344822394
gitbeaker-cli,,345050241,,
gitlab-elasticsearch-indexer,,,,345063023
glances,,344822643,,
globus-cli,344822663,344822662,,344822661
gnat16Packages.gpr2,344500823,344500881,,
gnudatalanguage,,345055651,,
golden-cheetah,,,,344823270
goobook,344823288,344823281,,344823285
gossip,,,,344823363
goxlr-utility,,,,344823429
gplates,345063033,345063034,,
gprolog,,,,344505194
gpt4all,344823474,344823458,,
gradm,,344505351,,
grafx2,,,,344823582
greenbone-feed-sync,,,,344823627
groestlcoin,344823694,344823690,,344823696
groestlcoind,344505784,344505779,,344505778
guile-git,,,,344506239
gummy,344823972,344823991,,
gvfs,,,,344824015
handlr-regex,,,,344824157
hashcash,,,,344506704
haskellPackages.AppleScript,,,,344824388
haskellPackages.GOST34112012-Hash,,344824663,,344824660
haskellPackages.HsHTSLib,,,,344824815
haskellPackages.aoc,,,,344826906
haskellPackages.botan-low,,344827961,,
haskellPackages.bytestring-encoding,,,,344828138
haskellPackages.copilot-c99,,,,344829321
haskellPackages.cpython,,344829428,,
haskellPackages.diagrams-pandoc,,344830281,,
haskellPackages.epub-metadata,,,,344830987
haskellPackages.error-codes,,,,344831020
haskellPackages.eventlog-live-otelcol,344831202,344831372,,344831237
haskellPackages.executable-hash,,,,344831146
haskellPackages.exinst-base,,,,344831160
haskellPackages.freetype2,,344831730,,344831728
haskellPackages.genvalidity-dirforest,,,,344832142
haskellPackages.gi-gdkx113,,,,344832474
haskellPackages.gi-gdkx114,,,,344832463
haskellPackages.gi-gst,344832493,344832498,,344832509
haskellPackages.gi-gtkosxapplication,,,,344832561
haskellPackages.gi-soup3,,,,344832596
haskellPackages.gtk-mac-integration,,,,344833477
haskellPackages.gtk-traymanager,,,,344833531
haskellPackages.gtk3-mac-integration,,,,344833521
haskellPackages.hamid,,,,344833656
haskellPackages.hcwiid,344834014,344833989,,
haskellPackages.heftia-effects,,,,344834070
haskellPackages.heph-aligned-storable,,,,344834115
haskellPackages.hevm,344834172,344834171,,344834170
haskellPackages.highlight,,,,344834328
haskellPackages.hlibgit2,,344834343,,
haskellPackages.huckleberry,,,,344835292
haskellPackages.hunspell-hs,,,,344835318
haskellPackages.hw-ip,344835418,344835312,,344835329
haskellPackages.hw-json-simd,,344835293,,344835307
haskellPackages.hw-streams,344835409,344835370,,344835308
haskellPackages.ihp-ide,344835520,344835552,,344835535
haskellPackages.implicit,,,,344835581
haskellPackages.kqueue,,,,344836328
haskellPackages.libtorch-ffi,,,,344836736
haskellPackages.llvm-tf,,,,344836968
haskellPackages.memcache,,,,344837443
haskellPackages.memzero,,,,344837473
haskellPackages.minici,,,,344837635
haskellPackages.miso-examples,344837732,344837692,,
haskellPackages.network-can,,,,344838430
haskellPackages.nix-serve-ng,,345011491,,345011493
haskellPackages.om-time,,,,344838915
haskellPackages.pdftotext,344839586,344839584,,344839610
haskellPackages.perceptual-hash,,,,344839580
haskellPackages.persistent-pagination,,,,344839671
haskellPackages.ping-wrapper,,,,344839798
haskellPackages.pipes-zlib,,,,344839805
haskellPackages.posix-socket,,,,344840018
haskellPackages.posix-timer,,,,344840021
haskellPackages.posix-waitpid,,,,344840026
haskellPackages.pthread,,,,344840538
haskellPackages.rawfilepath,,,,344840919
haskellPackages.rdtsc-enolan,,344840940,,344840957
haskellPackages.rdtsc,,344840937,,344840979
haskellPackages.sdl2-cairo,,,,344841848
haskellPackages.sdl2-mixer,344841856,344841855,,
haskellPackages.select,,,,344841890
haskellPackages.sha256,,,,344842223
haskellPackages.simdutf,,344842412,,
haskellPackages.socket,,,,344842764
haskellPackages.store,,,,344843210
haskellPackages.system-linux-proc,,,,344843672
haskellPackages.tailfile-hinotify,,,,344843739
haskellPackages.termbox-bindings-c,,,,344844005
haskellPackages.timeout-snooze,,344844474,,344844473
haskellPackages.trexio-hs,,,,344956583
haskellPackages.vulkan-utils,344845767,,,
haskellPackages.xgboost-haskell,345050297,,,
haskellPackages.xls,,,,344846283
haskellPackages.xmonad-utils,,,,344846336
haskellPackages.zlib-bytes,,,,344846728
