id,name,system
346512586,OVMFFull,aarch64-darwin
345227373,ac-library,aarch64-darwin
345227510,actual-server,aarch64-darwin
345227667,aerogramme,aarch64-linux
345227668,aerogramme,x86_64-linux
345987809,agent-browser,x86_64-linux
346512628,agentsploit,aarch64-darwin
345889714,alttab,aarch64-darwin
345229232,amnezia-vpn-bin,x86_64-linux
345757964,android-mic,aarch64-linux
345230070,archivemount,aarch64-darwin
346545280,ath9k-htc-blobless-firmware,aarch64-linux
346379102,atmos,aarch64-darwin
345854944,auto-editor,aarch64-darwin
345854943,auto-editor,aarch64-linux
345854949,auto-editor,x86_64-linux
346536508,aws-sam-cli,aarch64-darwin
345231553,ax25-tools,aarch64-linux
345231555,ax25-tools,x86_64-linux
346525684,azahar,aarch64-darwin
345231619,azure-cli-extensions.acrcssc,aarch64-darwin
345231624,azure-cli-extensions.acrcssc,aarch64-linux
345231622,azure-cli-extensions.acrcssc,x86_64-linux
345231646,azure-cli-extensions.aksarc,aarch64-darwin
345231645,azure-cli-extensions.aksarc,aarch64-linux
345231641,azure-cli-extensions.aksarc,x86_64-linux
345231649,azure-cli-extensions.alias,aarch64-darwin
345231650,azure-cli-extensions.alias,aarch64-linux
345231652,azure-cli-extensions.alias,x86_64-linux
345231662,azure-cli-extensions.aosm,aarch64-darwin
345231661,azure-cli-extensions.aosm,aarch64-linux
345231669,azure-cli-extensions.aosm,x86_64-linux
345231672,azure-cli-extensions.arcappliance,aarch64-darwin
345231671,azure-cli-extensions.arcappliance,aarch64-linux
345231687,azure-cli-extensions.arcappliance,x86_64-linux
345231727,azure-cli-extensions.arcdata,aarch64-darwin
345231679,azure-cli-extensions.arcdata,aarch64-linux
345231709,azure-cli-extensions.arcdata,x86_64-linux
345231698,azure-cli-extensions.attestation,aarch64-darwin
345231690,azure-cli-extensions.attestation,aarch64-linux
345231691,azure-cli-extensions.attestation,x86_64-linux
345232022,azure-cli-extensions.cloud-service,aarch64-darwin
345231802,azure-cli-extensions.cloud-service,aarch64-linux
345231772,azure-cli-extensions.cloud-service,x86_64-linux
345232355,azure-cli-extensions.connectedk8s,aarch64-darwin
345232254,azure-cli-extensions.connectedk8s,aarch64-linux
345231761,azure-cli-extensions.connectedk8s,x86_64-linux
345231774,azure-cli-extensions.containerapp,aarch64-darwin
345231768,azure-cli-extensions.containerapp,aarch64-linux
345231769,azure-cli-extensions.containerapp,x86_64-linux
345231952,azure-cli-extensions.k8s-configuration,aarch64-darwin
345231951,azure-cli-extensions.k8s-configuration,aarch64-linux
345231950,azure-cli-extensions.k8s-configuration,x86_64-linux
345231953,azure-cli-extensions.k8s-extension,aarch64-darwin
345231956,azure-cli-extensions.k8s-extension,aarch64-linux
345232025,azure-cli-extensions.k8s-extension,x86_64-linux
345232081,azure-cli-extensions.redisenterprise,aarch64-darwin
345232083,azure-cli-extensions.redisenterprise,aarch64-linux
345232082,azure-cli-extensions.redisenterprise,x86_64-linux
345232114,azure-cli-extensions.serial-console,aarch64-darwin
345232128,azure-cli-extensions.serial-console,aarch64-linux
345232115,azure-cli-extensions.serial-console,x86_64-linux
345232134,azure-cli-extensions.stack-hci-vm,aarch64-darwin
345232133,azure-cli-extensions.stack-hci-vm,aarch64-linux
345232135,azure-cli-extensions.stack-hci-vm,x86_64-linux
345232200,azure-cli-extensions.webpubsub,aarch64-darwin
345232201,azure-cli-extensions.webpubsub,aarch64-linux
345232202,azure-cli-extensions.webpubsub,x86_64-linux
345232263,azure-sdk-for-cpp.security-attestation,aarch64-linux
345232262,azure-sdk-for-cpp.security-attestation,x86_64-linux
345232548,barman,aarch64-darwin
345751821,beadwork,aarch64-linux
346545589,beamMinimal29Packages.rebar3,aarch64-darwin
345233431,beanhub-cli,aarch64-darwin
345233299,beanhub-cli,aarch64-linux
345233341,beanhub-cli,x86_64-linux
346369181,bicep,aarch64-darwin
346369202,bicep,aarch64-linux
345233562,biglybt,aarch64-darwin
345234081,bochs,aarch64-darwin
345234307,boulder,aarch64-darwin
345987834,brlcad,x86_64-linux
345234727,bugdom,aarch64-darwin
345234925,bumblebee-status,aarch64-linux
345234926,bumblebee-status,x86_64-linux
345859836,c3c,aarch64-darwin
345235189,caffe,aarch64-darwin
345235191,caffe,aarch64-linux
345235190,caffe,x86_64-linux
345751883,calibre-no-speech,x86_64-linux
345854997,capa,aarch64-darwin
345235565,cargo-deb,aarch64-darwin
345235766,cargo-semver-checks,aarch64-darwin
345235765,cargo-semver-checks,aarch64-linux
345235767,cargo-semver-checks,x86_64-linux
345235895,casacore,aarch64-darwin
345236100,cbmbasic,aarch64-darwin
345236235,cdecl,aarch64-darwin
345758465,chickenPackages_5.chickenEggs.fusion-arrays,aarch64-darwin
345758591,chickenPackages_5.chickenEggs.hypergiant,aarch64-darwin
345758691,chickenPackages_5.chickenEggs.libyaml,aarch64-darwin
345758680,chickenPackages_5.chickenEggs.libyaml,aarch64-linux
345236792,chipsec,aarch64-darwin
345236791,chipsec,aarch64-linux
345236793,chipsec,x86_64-linux
345239125,clipcat,aarch64-darwin
345239608,cocom-tool-set,aarch64-darwin
345987861,contour,aarch64-darwin
346369254,coredns,aarch64-darwin
345859894,cosmopolitan,x86_64-linux
346764414,credsweeper,aarch64-linux
345241193,creek,aarch64-linux
345241194,creek,x86_64-linux
345990385,csol,aarch64-darwin
345241616,cups-dymo,aarch64-darwin
345242017,dart_frog_cli,aarch64-linux
345242035,dart_frog_cli,x86_64-linux
345242058,dasher,aarch64-darwin
346525785,dbqn-native,x86_64-linux
346512820,depot-cli,aarch64-darwin
346765125,dgop,aarch64-darwin
346369472,discordchatexporter-desktop,aarch64-darwin
345243290,dleyna,aarch64-darwin
345243432,dnslink-std-go,aarch64-darwin
345889928,dorion,aarch64-darwin
345244387,dovecot_pigeonhole,aarch64-darwin
345244379,dovecot_pigeonhole_2_4,aarch64-darwin
345244981,dyndnsc,aarch64-darwin
345244992,dyndnsc,aarch64-linux
345244986,dyndnsc,x86_64-linux
345859962,ecapture,aarch64-linux
345859968,ecapture,x86_64-linux
345245387,eggnog-mapper,aarch64-darwin
345245467,ela-widget-tools,aarch64-darwin
346521537,electrum,aarch64-darwin
345245649,elmPackages.elm-doc-preview,aarch64-darwin
345245646,elmPackages.elm-doc-preview,aarch64-linux
345245637,elmPackages.elm-doc-preview,x86_64-linux
345245834,elmPackages.elm-graphql,aarch64-darwin
345245810,elmPackages.elm-graphql,aarch64-linux
345245658,elmPackages.elm-graphql,x86_64-linux
