name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
OVMFFull,,,,346512586
ac-library,,,,345227373
actual-server,,,,346772873
aerogramme,345227668,345227667,,
agent-browser,345987809,,,
agentsploit,,,,346512628
alttab,,,,345889714
amnezia-vpn-bin,345229232,,,
android-mic,,345757964,,
archivemount,,,,345230070
ath9k-htc-blobless-firmware,,346545280,,
atmos,,,,346379102
auto-editor,345854949,345854943,,345854944
aws-encryption-sdk-cli,346811960,346811959,,346811958
aws-sam-cli,346777977,,,346777975
ax25-tools,345231555,345231553,,
azahar,,,,346525684
azure-cli-extensions.acrcssc,345231622,345231624,,345231619
azure-cli-extensions.aksarc,345231641,345231645,,345231646
azure-cli-extensions.alias,345231652,345231650,,345231649
azure-cli-extensions.aosm,345231669,345231661,,345231662
azure-cli-extensions.arcappliance,345231687,345231671,,345231672
azure-cli-extensions.arcdata,345231709,345231679,,345231727
azure-cli-extensions.attestation,345231691,345231690,,345231698
azure-cli-extensions.cloud-service,345231772,345231802,,345232022
azure-cli-extensions.connectedk8s,345231761,345232254,,345232355
azure-cli-extensions.containerapp,345231769,345231768,,345231774
azure-cli-extensions.k8s-configuration,345231950,345231951,,345231952
azure-cli-extensions.k8s-extension,345232025,345231956,,345231953
azure-cli-extensions.redisenterprise,345232082,345232083,,345232081
azure-cli-extensions.serial-console,345232115,345232128,,345232114
azure-cli-extensions.stack-hci-vm,345232135,345232133,,345232134
azure-cli-extensions.webpubsub,345232202,345232201,,345232200
azure-sdk-for-cpp.security-attestation,345232262,345232263,,
barman,,,,345232548
beadwork,,345751821,,
beamMinimal29Packages.rebar3,,,,346545589
beanhub-cli,345233341,345233299,,345233431
bicep,,346369202,,346369181
biglybt,,,,345233562
bochs,,,,345234081
boulder,,,,345234307
brlcad,345987834,,,
bugdom,,,,345234727
bumblebee-status,345234926,345234925,,
c3c,,,,345859836
caffe,345235190,345235191,,345235189
calibre-no-speech,346788091,346788099,,
capa,,,,345854997
casacore,,,,345235895
cbmbasic,,,,345236100
cdecl,,,,345236235
chickenPackages_5.chickenEggs.fusion-arrays,,,,345758465
chickenPackages_5.chickenEggs.hypergiant,,,,345758591
chickenPackages_5.chickenEggs.libyaml,,345758680,,345758691
chipsec,345236793,345236791,,345236792
clipcat,,,,345239125
cocom-tool-set,,,,345239608
contour,,,,345987861
copacetic,,,,346773942
coredns,,,,346369254
cosmopolitan,345859894,,,
credsweeper,,346788132,,
csol,,,,345990385
cups-dymo,,,,345241616
dart_frog_cli,345242035,345242017,,
dasher,,,,345242058
dbqn-native,346525785,,,
deeptools,,,,346811997
depot-cli,,,,346512820
dgop,,,,346765125
discordchatexporter-desktop,,,,346369472
dleyna,,,,345243290
dnslink-std-go,,,,345243432
dorion,,,,345889928
dovecot_pigeonhole,,,,345244387
dovecot_pigeonhole_2_4,,,,345244379
dyndnsc,345244986,345244992,,345244981
ecapture,345859968,345859962,,
eggnog-mapper,,,,345245387
ela-widget-tools,,,,345245467
electrum,,,,346521537
elmPackages.elm-doc-preview,345245637,345245646,,345245649
elmPackages.elm-graphql,345245658,345245810,,345245834
elmPackages.elm-test-rs,,345864684,,
elmPackages.elm-wrap,,,,345245675
elmPackages.elm-xref,345245817,345245900,,345245683
emacs-gtk,,,,345859977
emacs-macport,,,,345860005
emacs-pgtk,,,,345859995
emacs30-macport,,,,345860006
emacs31-gtk3,,,,345859985
emacs31-pgtk,,,,345859996
emborg,345245776,345245783,,345245782
emmy-lua-code-style,,,,345245822
empserver,,345245861,,
enca,,346814316,,
equalx,,,,345246141
ete-unwrapped,,345246284,,345246282
exatorrent,,,,345246435
excalidraw_export,345246439,345246438,,
exfat,,,,345246471
fancy-cat,,,,345246788
fbv,,,,345247029
fcron,,,,345247128
fedimint,345247169,345247168,,
flame,,,,345247929
flashrom,,345247991,,
flet-client-flutter,,,,346525864
flex-launcher,,,,345248068
flexget,,,,346538826
flightcore,,,,345248084
fluux-messenger,,345890338,,
ford,,,,345248592
fortitude,,,,345248649
freebsd.makeMinimal,,,,345248876
freebsd.xf86-video-scfb,345248892,345248891,,345890351
freepv,,,,345248955
fwup,345249321,345249320,,345249319
g15daemon,,,,345249367
gccNGPackages.gcc-unwrapped,,,,345249765
gccNGPackages_15.gcc-unwrapped,,,,345249832
gccNGPackages_16.gcc-unwrapped,,,,345249909
gdcm,,,,346774075
gerbera,346538832,346538831,,
gimme-aws-creds,345250824,345250826,,345250827
git-annex,346774090,346774091,,346774093
git-privacy,345251154,345251153,,345251155
git-wt,346525898,,,
gitbeaker-cli,,345251340,,
glances,346788267,346788264,,
globus-cli,345251730,345251728,,345251729
gnat16Packages.gpr2,345252041,345252031,,
gnudatalanguage,,346774158,,
goobook,345256026,345255983,,345255980
goxlr-utility,,,,345256325
gprolog,,,,345256408
gqrx-gr-audio,,,,346053201
gradm,,345256559,,
grafana,,,,346369848
grafx2,,,,345256712
greenbone-feed-sync,,,,345256893
groestlcoin,345256995,345256997,,345256994
groestlcoind,345256999,345257001,,345256996
gummy,345257536,345257534,,
gvfs,,,,345660722
hashcash,,,,345257915
haskellPackages.AppleScript,,,,345258122
haskellPackages.GOST34112012-Hash,,345258391,,345258390
haskellPackages.HsHTSLib,,,,345258555
haskellPackages.aoc,,,,345260628
haskellPackages.botan-low,,345261664,,
haskellPackages.bytestring-encoding,,,,345261874
haskellPackages.copilot-c99,,,,345263045
haskellPackages.cpython,,345263162,,
haskellPackages.diagrams-pandoc,,345263949,,
haskellPackages.epub-metadata,,,,345264734
haskellPackages.error-codes,,,,345264751
haskellPackages.eventlog-live-otelcol,345264896,345264889,,345264925
haskellPackages.executable-hash,,,,345264895
haskellPackages.exinst-base,,,,345264901
haskellPackages.freetype2,,345265470,,345265467
haskellPackages.genvalidity-dirforest,,,,345265872
haskellPackages.gi-gdkx113,,,,345266237
haskellPackages.gi-gdkx114,,,,345266267
haskellPackages.gi-gst,345266231,345266230,,345266227
haskellPackages.gi-gtkosxapplication,,,,345266252
haskellPackages.gi-soup3,,,,345266298
haskellPackages.git-annex,346774193,346774194,,346774195
haskellPackages.gtk-mac-integration,,,,345267210
haskellPackages.gtk-traymanager,,,,345267225
haskellPackages.gtk3-mac-integration,,,,345267239
haskellPackages.hamid,,,,345267393
haskellPackages.hcwiid,345267729,345267728,,
haskellPackages.heftia-effects,,,,345267812
haskellPackages.heph-aligned-storable,,,,345267837
